Establishment ID,Establishment Name,Establishment Type,Establishment Address
10652397,MATAX EXPRESS LTD,Food Depot,"415 OAKDALE RD, Unit-387 - 389"
10804620,MATCHA MATCHA,Food Take Out,"407 CHURCH ST, Bldg--"
10805795,MATCHATIME,Food Take Out,1104 WILSON AVE
10657753,MATHA ROTI - EAST INDIAN CUISINE,Restaurant,141 HARBORD ST
10696567,MATSUDA JAPANESE,Restaurant,4810 SHEPPARD AVE E
10380631,MATSUDA JAPANESE CUISINE,Restaurant,"5651 STEELES AVE E, Unit-13A&B"
10514992,MATSUDA JAPANESE CUISINE & TEPPANYAKI,Restaurant,1300 DON MILLS RD
10809170,MATSUTEI SUKIYAKI,Restaurant,438 DUNDAS ST W
10330303,MATT TALBOT HOUSE #2,Boarding / Lodging Home - Kitchen,262 GERRARD ST E
9009750,MATT TALBOT HOUSE I,Boarding / Lodging Home - Kitchen,234 CARLTON ST
10730537,MATT'S,Food Take Out,235 QUEENS QUAY W
10695893,MATT'S BURGER LAB,Food Take Out,"1205 QUEEN ST W, Unit-4"
10745360,MATT'S BURGER LAB,Restaurant,254 ADELAIDE ST W
10556640,MATTACHIONI,Restaurant,1617 DUPONT ST
10730384,MATTACHIONI EAST,Supermarket,1499 GERRARD ST E
9009746,MATTHEW-JOHN EARLY LEARNING CENTRE,Child Care - Food Preparation,135 FIRST AVE
10766765,MATTS BURGERLAB,Restaurant,"290 THE WEST MALL, Bldg-11"
10721237,MATTY'S PATTY'S BURGER CLUB,Restaurant,"923 QUEEN ST W, Unit-A"
9009757,MAURICE CODY CHILD CARE,Child Care - Catered,"364 BELSIZE DR, Unit-4"
10575419,MAURYA,Restaurant,150 EAST LIBERTY ST
10688761,MAURYA EAST INDIAN ROTI,Restaurant,1549 BAYVIEW AVE
10449667,MAURYA EAST INDIAN ROTI CUISINE,Restaurant,2481 LAKE SHORE BLVD W
10799782,MAVERICK'S DONUTS,Food Take Out,1618 QUEEN ST W
10193878,MAVROS FOODS,Food Depot,"182 ST HELEN'S AVE, Unit-C"
10533000,MAX BAKERY,Bakery,"3290 MIDLAND AVE, Unit-8"
10760764,MAX MINI MART,Food Store (Convenience/Variety),2286 ISLINGTON AVE
10792750,MAX SANDWICH,Food Take Out,"5418 YONGE ST, Unit-17"
10522742,MAXI MART,Food Store (Convenience/Variety),250 WINCOTT DR
10795797,MAXIME'S,Restaurant,75 PORTLAND ST
10636807,MAY FLOWERS,Food Store (Convenience/Variety),1020 ST CLAIR AVE W
10756655,MAY YAN SEAFOOD RESTAURANT,Restaurant,"4227 SHEPPARD AVE E, Unit-B2 B5"
10471290,MAY'S DELI,Restaurant,181 UNIVERSITY AVE
10709078,MAYA BAY,Restaurant,252 CARLTON ST
10806771,MAYA MEXICAN MARKET,Food Store (Convenience/Variety),2393 ST CLAIR AVE W
10769108,MAYA'S HALAL PIZZA & GRILL,Restaurant,1555 O'CONNOR DR
10793896,MAYDAY BURGER,Food Take Out,66 DUNDAS ST E
9009781,MAYFAIR BISTRO,Restaurant,801 LAKE SHORE BLVD E
10461750,MAYFAIR BISTRO & BAR,Restaurant,3855 CHESSWOOD DR
10799002,MAYFLOWER CHINESE FOOD,Food Take Out,1500 ROYAL YORK RD
10612668,MAYNARD NURSING HOME,Nursing Home / Home for the Aged,28 HALTON ST
9022189,MAYNARD RESIDENCE,Boarding / Lodging Home - Kitchen,30 MAYNARD AVE
10617375,MAYRIK,Restaurant,1580 BAYVIEW AVE
10599890,MAYWAH FOODS,Food Store (Convenience/Variety),20 CLAIREPORT CRES
10789268,MAYYAS EXPRESS,Restaurant,"2555 VICTORIA PARK AVE, Unit-2D"
